sample_ID,C_N,d13C_post,d13C_kilj,d13C,d15N,location,organism,month,tissue,year,fl,tl,wt,liver_wt,sex,gonad_wt,full_gut_wt,empty_gut_wt,stom_content,number_content,content_wt,notes...14,,
EF1-A22-Al,18.49354199,-32.14139343,-38.77554037,-47.13,0.72,lake,algae,august,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
EF2-22-AL,17.02917026,-14.72112144,-20.44669206,-28.26,-1.11,lake,algae,may,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Post lipid correction,dCnormalized = dCraw - 3.32 + 0.99 X C:N
EF2-A22-AL,23.37888926,-16.96489964,-26.82541179,-36.79,-2.27,lake,algae,august,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kiljunen lipid correction,dCnormalized=dCraw + 7.018 * (0.048 + ((3.9)/(1 + 287/(-20.54 + 7.54 * C:N))))
EF3-A22-AL,24.77311052,-4.774620581,-15.603902,-25.98,-1.68,lake,algae,august,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
EF4-22-AL,16.61807926,-16.94810153,-22.4240924,-30.08,0.12,creek,algae,may,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
EF4-A22-AL,14.31539552,-24.37775844,-28.5039393,-35.23,1.55,creek,algae,august,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
EF5-A22-AL,31.42899151,-2.075298406,-17.76624865,-29.87,0.84,lake,algae,august,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
FU-22-AL,14.4505037,-20.78400133,-24.98700611,-31.77,0.97,creek,algae,may,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
FYKE-A22-AL,19.98476155,-20.99508607,-28.58390719,-37.46,1.86,creek,algae,august,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
WEIR-A22-AL,19.2482563,-16.69422626,-23.80797705,-32.43,1.83,creek,algae,august,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
