organism,d13C,d15N,year,month,location,tissue,sample_ID,fl,tl,wt,sex
common shiner,-29.26430196,5.47,2022,may,creek,liver,CC25-22-504-L,65,72,4.3,F
common shiner,-28.36581157,6.09,2022,may,lake,liver,OP3-22-132-L,124,139,25,M
common shiner,-23.00642655,3.8,2022,august,lake,liver,OP7-S22-105-L,132,143,28.36,M
common shiner,-27.15775533,6.06,2022,may,creek,liver,WU-22-10-L,146,160,40,M
common shiner,-29.0652307,6.34,2023,august,creek,liver,CR5-A23-CS-6-L,117,127,20.7638,M
common shiner,-29.69607768,5.24,2023,august,creek,liver,CR5-A23-CS-7-L,94,105,10.2986,M
common shiner,-30.05275785,5.39,2023,august,creek,liver,CR5-A23-CS-7-L,94,105,10.2986,M
common shiner,-29.84337183,5.79,2023,august,creek,liver,CR5-A23-CS-8-L,119,133,15.7696,F
common shiner,-26.82818422,5.64,2023,may,creek,liver,CR5-M23-CS-10-L,156,172,69.0863,M
common shiner,-31.44587825,4.97,2023,may,creek,liver,CR5-M23-CS-12-L,108,120,17.0991,F
common shiner,-27.73775995,6.52,2023,may,creek,liver,CR5-M23-CS-2-L,79,97,5.6075,M
common shiner,-26.43981401,5.82,2023,may,creek,liver,CR5-M23-CS-4-L,109,120,15.4466,M
common shiner,-28.72340353,5.11,2023,may,creek,liver,CR5-M23-CS-5-L,93,94,10.4425,F
common shiner,-28.63021403,6.18,2023,may,creek,liver,CR5-M23-CS-6-L,117,128,21.2547,M
common shiner,-26.55815484,6.13,2023,may,creek,liver,CR5-M23-CS-7-L,130,143,32.677,M
common shiner,-26.98280653,5.08,2023,may,creek,liver,CR5-M23-CS-8-L,139,152,37.7807,M
common shiner,-28.99196147,5.18,2023,may,creek,liver,CR5-M23-CS-9-L,70,75,3.8527,M
common shiner,-29.14843114,5.83,2023,august,creek,liver,CR9-A23-CS-2-L,65,70,3.1784,IND
common shiner,-27.61731006,5.11,2023,october,creek,liver,FN-023-CS-1-L,105,113,11.1627,F
common shiner,-29.62604903,5.45,2023,october,creek,liver,FN-023-CS-3-L,110,122,forgot to weigh,F
common shiner,-29.70890817,6.36,2023,october,creek,liver,FN-023-CS-4-L,103,110,12.0939,F
common shiner,-26.69827186,3.63,2023,october,creek,liver,FN-023-CS-5-L,109,118,12.7226,M
common shiner,-28.67016036,4.83,2023,october,creek,liver,FN-023-CS-6-L,110,120,15.6651,F
common shiner,-27.12222761,5.83,2023,october,creek,liver,FN-023-CS-7-L,100,110,11.1963,M
common shiner,-28.04092474,5.56,2023,october,creek,liver,FN-023-CS-8-L,99,109,11.1968,F
common shiner,-30.62129961,5.74,2023,may,creek,liver,FN-M23-CS-11-L,115,126,20.9841,M
common shiner,-29.33974129,5.45,2023,may,creek,liver,FN-M23-CS-12-L,129,141,32.287,M
common shiner,-29.08663862,5.76,2023,may,creek,liver,FN-M23-CS-2-L,52,57,1.6626,NA
common shiner,-27.6951021,4.78,2023,may,creek,liver,FN-M23-CS-4-L,123,135,24.5067,M
common shiner,-29.84630332,4.37,2023,may,creek,liver,FN-M23-CS-5-L,124,139,25.083,M
common shiner,-31.49461671,3.7,2023,may,creek,liver,FN-M23-CS-7-L,95,97,13.4969,F
common shiner,-28.34207347,5.82,2023,may,creek,liver,FN-M23-CS-8-L,70,77,3.6671,F
common shiner,-26.81660062,5.65,2023,may,creek,liver,FN-M23-CS-9-L,92,101,8.5344,F
common shiner,-26.81660062,5.65,2023,may,creek,liver,FN-M23-CS-9-L,126,135,26.3534,M
common shiner,-27.83522512,4.51,2023,may,lake,liver,LK-M23-CS-100-L,137,152,37.6088,M
common shiner,-26.92668853,4.85,2023,may,lake,liver,LK-M23-CS-101-L,145,161,50.0473,M
common shiner,-26.3278224,4.97,2023,may,lake,liver,LK-M23-CS-102-L,130,144,32.9471,M
common shiner,-28.5593746,5.64,2023,may,lake,liver,LK1-M23-CS-1-L,131,145,31.1333,M
common shiner,-24.62798494,5.6,2023,may,lake,liver,LK1-M23-CS-2-L,128,140,30.4102,M
common shiner,-27.91847944,4.4,2023,may,lake,liver,LK6-M23-CS-3-L,136,148,36.9378,M
common shiner,-29.32140565,5.76,2024,august,creek,liver,CR1-A24-CS-1-L,75,82,4.4333,IND
common shiner,-28.23664386,6.74,2024,october,creek,liver,CR1-O24-CS-1-L,86,97,6.8911,F
common shiner,-28.23664386,6.74,2024,october,creek,liver,CR1-O24-CS-1-L,86,97,6.8911,F
common shiner,-28.23664386,6.74,2024,october,creek,liver,CR1-O24-CS-1-L,101,111,9.8763,F
common shiner,-28.32643618,5.95,2024,october,creek,liver,CR1-O24-CS-1-L,86,97,6.8911,F
common shiner,-28.32643618,5.95,2024,october,creek,liver,CR1-O24-CS-1-L,86,97,6.8911,F
common shiner,-28.32643618,5.95,2024,october,creek,liver,CR1-O24-CS-1-L,101,111,9.8763,F
common shiner,-30.49149885,6.11,2024,october,creek,liver,CR1-O24-CS-3-L,115,125,16.5788,M
common shiner,-30.49149885,6.11,2024,october,creek,liver,CR1-O24-CS-3-L,82,91,5.4115,F
common shiner,-30.46296506,6.26,2024,october,creek,liver,CR1-O24-CS-4-L,106,115,10.9557,M
common shiner,-25.72353331,5.6,2024,october,creek,liver,CR1-O24-CS-5-L,105,115,12.4978,F
common shiner,-26.83381707,5.44,2024,october,creek,liver,CR1-O24-CS-6-L,92,103,7.5519,F
common shiner,-30.56051196,5.7,2024,october,creek,liver,CR1-O24-CS-7-L,102,112,12.2549,F
common shiner,-28.02127532,5.78,2024,october,creek,liver,CR1-O24-CS-8-L,82,91,5.1279,F
common shiner,-31.96484692,4.21,2024,august,creek,liver,CR5-A24-CS-1-L,122,135,21.3,M
common shiner,-32.21708024,6.16,2024,august,creek,liver,CR5-A24-CS-10-L,127,129,23.3,M
common shiner,-29.74929741,6.76,2024,august,creek,liver,CR5-A24-CS-2-L,110,120,17,M
common shiner,-31.81053358,5.36,2024,august,creek,liver,CR5-A24-CS-4-L,117,130,20.8,M
common shiner,-29.41338965,5.04,2024,august,creek,liver,CR5-A24-CS-5-L,105,116,14.6,M
common shiner,-29.41338965,5.04,2024,august,creek,liver,CR5-A24-CS-5-L,121,134,23.3,M
common shiner,-27.68528254,5.48,2024,august,creek,liver,CR5-A24-CS-6-L,90,99,7.7,M
common shiner,-30.47275471,6.25,2024,august,creek,liver,CR5-A24-CS-8-L,112,125,15.7,F
common shiner,-31.8197211,3.89,2024,august,creek,liver,CR5-A24-CS-9-L,110,120,16.8,F
common shiner,-30.07874063,5.11,2024,may,creek,liver,CR5-M24-CS-1-L,135,147,38.1,M
common shiner,-29.43617496,5.02,2024,may,creek,liver,CR5-M24-CS-10-L,147,151,39.2528,M
common shiner,-28.53087326,5.94,2024,may,creek,liver,CR5-M24-CS-2-L,110,122,15.5008,F
common shiner,-30.28897712,4.69,2024,may,creek,liver,CR5-M24-CS-3-L,117,126,18.5059,F
common shiner,-28.86338965,5.04,2024,may,creek,liver,CR5-M24-CS-4-L,116,122,22.357,M
common shiner,-29.11140565,5.76,2024,may,lake,liver,CR5-M24-CS-5-L,91,101,8.5025,M
common shiner,-30.20622969,5.24,2024,may,creek,liver,CR5-M24-CS-6-L,123,137,25.8196,M
common shiner,-29.93053358,5.36,2024,may,creek,liver,CR5-M24-CS-7-L,100,109,12.066,F
common shiner,-28.37323191,5.66,2024,may,creek,liver,CR5-M24-CS-8-L,106,114,13.2624,M
common shiner,-32.02472848,4.82,2024,may,creek,liver,CR5-M24-CS-9-L,111,123,16.4571,M
common shiner,-26.63389049,4.98,2024,october,creek,liver,CR5-O24-CS-1-L,119,128,19.2133,M
common shiner,-26.63389049,4.98,2024,october,creek,liver,CR5-O24-CS-1-L,119,128,19.2133,M
common shiner,-30.38732966,5.68,2024,october,creek,liver,CR5-O24-CS-6-L,80,89,4.7961,F
common shiner,-30.1882704,4.83,2024,may,creek,liver,FN-M24-CS-1-L,110,120,17.1652,M
common shiner,-31.50874063,5.11,2024,may,creek,liver,FN-M24-CS-2-L,128,140,27.3466,F
common shiner,-32.44771897,6.06,2024,may,creek,liver,FN-M24-CS-3-L,99,109,10.8672,M
common shiner,-29.02247021,4.87,2024,may,creek,liver,FN-M24-CS-4-L,120,133,21.7957,M
common shiner,-30.30047264,5.6,2024,may,creek,liver,FN-M24-CS-5-L,107,117,14.6366,F
common shiner,-29.3146353,5.29,2024,may,lake,liver,LK-M24-CS-306-L,112,123,18.4351,F
common shiner,-34.15280525,4.47,2024,may,lake,liver,LK10-M24-CS-1-L,122,135,27.2538,F
common shiner,-28.87029708,5.52,2024,may,lake,liver,LK10-M24-CS-200-L,108,119,12.6795,M
common shiner,-29.65522372,5.21,2024,may,lake,liver,LK10-M24-CS-201-L,109,120,18.1237,F
common shiner,-28.7160187,5.85,2024,may,lake,liver,LK10-M24-CS-202-L,103,112,12.6716,M
common shiner,-29.68423542,5.07,2024,may,lake,liver,LK-M24-CS-3-L,87,97,6.654,M
common shiner,-29.4851096,5.1,2024,may,lake,liver,LK10-M24-CS-307-L,100,110,11.7695,F
common shiner,-28.84949662,6.09,2024,may,lake,liver,LK10-M24-CS-311-L,90,99,7.619,F
common shiner,-26.69273277,6.4,2024,may,lake,liver,LK10-M24-CS-4-L,86,98,6.9971,F
common shiner,-31.50424587,5.18,2024,may,lake,liver,LK10-M24-CS-5-L,111,122,19.0993,F
common shiner,-27.84237481,5.12,2024,may,lake,liver,LK2-M24-CS-6-L,117,130,23.133,M
common shiner,-23.91031641,5.05,2024,october,lake,liver,LK2-O24-CS-2-L,127,140,24.1718,M
common shiner,-25.64318519,5.64,2024,october,lake,liver,LK2-O24-CS-3-L,147,160,38.3956,M
common shiner,-26.24232902,5.42,2024,october,lake,liver,LK2-O24-CS-4-L,124,136,24.9101,M
common shiner,-27.60029708,5.52,2024,may,lake,liver,LK3-M24-CS-200-L,127,139,26.2446,M
common shiner,-25.45804694,5.62,2024,may,lake,liver,LK3-M24-CS-202-L,130,144,36.6206,M
common shiner,-29.74673305,6.26,2024,may,lake,liver,LK8-M24-CS-1-L,100,110,10.2388,F
common shiner,-29.24669168,5.11,2024,october,creek,liver,CR1-O24-CS-2-L,110,122,15.2953,F
common shiner,-29.24669168,5.11,2024,october,creek,liver,CR1-O24-CS-2-L,110,122,15.2953,F
common shiner,-29.24669168,5.11,2024,october,creek,liver,CR1-O24-CS-2-L,95,106,9.4887,M
common shiner,-28.78524683,4.77,2024,october,creek,liver,CR1-O24-CS-3-L,115,125,16.5788,M
common shiner,-28.78524683,4.77,2024,october,creek,liver,CR1-O24-CS-3-L,82,91,5.4115,F
common shiner,-30.13642532,5.49,2024,october,creek,liver,CR5-O24-CS-2-L,100,111,10.5026,F
common shiner,-25.35249514,5.82,2024,october,lake,liver,LK1-O24-CS-1-L,130,143,37.801,M
common shiner,-25.35249514,5.82,2024,october,lake,liver,LK1-O24-CS-1-L,130,143,37.801,M
golden shiner,-30.44538055,6.33,2022,may,creek,liver,CC10-22-18-L,113,124,18,F
golden shiner,-28.06678048,5.06,2022,may,creek,liver,CC12-22-203-L,100,132,23,F
golden shiner,-27.05752998,6.68,2022,may,creek,liver,CC16-22-225-L,106,116,16,F
golden shiner,-29.68839966,6.65,2022,may,creek,liver,CC16-22-230-L,94,104,,F
golden shiner,-28.06037711,5.86,2022,october,creek,liver,CR5-023-GS-22-L,100,110,11.7723,F
golden shiner,-28.47457307,5.05,2022,may,creek,liver,FU-22-16-L,125,138,24.4645,F
golden shiner,-27.86299434,6.14,2022,may,lake,liver,OP1-22-123-L,113,139,21,M
golden shiner,-29.1626341,6.3,2022,may,lake,liver,OP1-22-34-L,114,125,20,F
golden shiner,-26.9762469,6.36,2022,may,lake,liver,OP7-22-379-L,104,115,13.5,M
golden shiner,-31.52061623,4.75,2022,may,creek,liver,WU-22-02-L,105,116,14,F
golden shiner,-29.93000918,5.78,2023,october,creek,liver,CR5-023-GS-1-L,88,96,7.9818,F
golden shiner,-31.46746618,5.56,2023,october,creek,liver,CR5-023-GS-2-L,116,126,16.66404,M
golden shiner,-31.50555115,4.97,2023,october,creek,liver,CR5-023-GS-21-L,118,125,16.839,IND
golden shiner,-30.471616,5.1,2023,october,creek,liver,CR5-023-GS-3-L,105,112,12.8952,M
golden shiner,-31.34962212,6.25,2023,october,creek,liver,CR5-023-GS-4-L,108,118,17.419,F
golden shiner,-29.02379363,5.52,2023,october,creek,liver,CR5-023-GS-5-L,108,113,14.3965,M
golden shiner,-32.36164612,5.77,2023,august,creek,liver,CR5-A23-GS-10-L,89,97,8.2854,M
golden shiner,-31.64139923,4.98,2023,august,creek,liver,CR5-A23-GS-2-L,110,121,18.0048,F
golden shiner,-31.16821595,4.83,2023,august,creek,liver,CR5-A23-GS-3-L,104,113,12.6833,F
golden shiner,-29.73666176,5.06,2023,august,creek,liver,CR5-A23-GS-5-L,116,128,19.3947,F
golden shiner,-30.31418289,5.74,2023,august,creek,liver,CR5-A23-GS-6-L,83,94,7.2261,F
golden shiner,-32.06059344,5.14,2023,august,creek,liver,CR5-A23-GS-8-L,102,110,10.4941,F
golden shiner,-28.95291559,4.68,2023,august,creek,liver,CR5-A23-GS-9-L,98,116,13.8307,F
golden shiner,-29.14248715,6.59,2023,may,creek,liver,CR5-M23-GS-1-L,85,94,7.633,M
golden shiner,-29.57937829,5.62,2023,may,creek,liver,CR5-M23-GS-2-L,110,120,17.0373,F
golden shiner,-27.9311267,5.7,2023,may,creek,liver,CR5-M23-GS-3-L,101,112,12.5788,F
golden shiner,-25.92137907,5.55,2023,may,creek,liver,CR5-M23-GS-4-L,135,151,31.7634,F
golden shiner,-28.47937712,6.01,2023,may,creek,liver,CR5-M23-GS-5-L,118,128,18.0057,F
golden shiner,-28.61802756,6.32,2023,may,creek,liver,CR5-M23-GS-6-L,83,91,6.4694,M
golden shiner,-30.76742714,5.66,2023,may,creek,liver,CR5-M23-GS-7-L,110,120,16.4952,F
golden shiner,-27.69225498,5.54,2023,may,creek,liver,CR5-M23-GS-8-L,98,108,12.7815,F
golden shiner,-28.61500326,5.8,2023,may,creek,liver,CR5-M23-GS-9-L,101,111,12.6074,F
golden shiner,-30.74652325,5.49,2023,august,creek,liver,FN-A23-GS-1-L,93,101,10.4838,M
golden shiner,-30.46646948,6.82,2023,august,creek,liver,FN-A23-GS-7-L,96,108,10.9305,M
golden shiner,-28.66263673,5.66,2023,august,creek,liver,FN-A23-GS-8-L,96,107,11.4838,F
golden shiner,-29.53680525,5.92,2023,may,creek,liver,FN-M23-GS-1-L,117,128,18.8336,F
golden shiner,-30.8591671,4.59,2023,may,creek,liver,FN-M23-GS-100-L,117,124,21.3034,F
golden shiner,-29.29995261,5.32,2023,may,creek,liver,FN-M23-GS-101-L,119,120,6.8108,F
golden shiner,-28.33605041,5.19,2023,may,creek,liver,FN-M23-GS-12-L,91,98,9.2646,F
golden shiner,-28.33605041,5.19,2023,may,creek,liver,FN-M23-GS-12-L,87,99,7.895,F
golden shiner,-28.61780921,6.28,2023,may,creek,liver,FN-M23-GS-3-L,83,92,4.7193,M
golden shiner,-28.21683931,6,2023,may,creek,liver,FN-M23-GS-3-L,83,92,4.7193,M
