species,id,number,fl,tl,wt,direction,us_clip,ds_clip,date,month,day,year,season,type,notes
golden shiner,,bulk,,,262.4,upstream,,,2023-04-24,april,23,2024,spring,fyke,Not spawning colours 
golden shiner,,bulk,,,244.2,upstream,,,2023-04-24,april,23,2024,spring,fyke,Not spawning colours 
golden shiner,,bulk,,,308.9,upstream,,,2023-04-24,april,23,2024,spring,fyke,Not spawning colours 
golden shiner,,bulk,,,273.3,upstream,,,2023-04-24,april,23,2024,spring,fyke,Not spawning colours 
golden shiner,,bulk,,,245,upstream,,,2023-04-24,april,23,2024,spring,fyke,Not spawning colours 
golden shiner,,bulk,,,61.3,upstream,,,2023-04-24,april,23,2024,spring,fyke,Not spawning colours 
golden shiner,,bulk,,,65.8,upstream,,,2023-04-24,april,23,2024,spring,fyke,Not spawning colours 
golden shiner,,1,114,125,15.8,upstream,,,2023-04-24,april,23,2024,spring,fyke,Not spawning colours 
golden shiner,,1,80,89,4.7,upstream,,,2023-04-24,april,23,2024,spring,fyke,Not spawning colours 
common shiner,,bulk,,,229.1,upstream,,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
common shiner,,bulk,,,33.1,upstream,,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
common shiner,,bulk,,,4.9,upstream,,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
common shiner,,bulk,,,139.5,upstream,,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
common shiner,,bulk,,,115.6,upstream,,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
common shiner,,1,130,140,33.1,upstream,,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
yellow Perch,,bulk,,,202.1,upstream,,,2023-04-24,april,23,2024,spring,fyke,
yellow Perch,,bulk,,,115.4,upstream,,,2023-04-24,april,23,2024,spring,fyke,
yellow Perch,,bulk,,,47.7,upstream,,,2023-04-24,april,23,2024,spring,fyke,
yellow Perch,,1,77,83,3.4,upstream,,,2023-04-24,april,23,2024,spring,fyke,
yellow Perch,,1,65,69,2.1,upstream,,,2023-04-24,april,23,2024,spring,fyke,
yellow Perch,,1,71,75,3.8,upstream,,,2023-04-24,april,23,2024,spring,fyke,
yellow Perch,,1,70,75,2.9,upstream,,,2023-04-24,april,23,2024,spring,fyke,
yellow Perch,,1,68,72,1.7,upstream,,,2023-04-24,april,23,2024,spring,fyke,
pumpkinseed,,1,,,113,upstream,,,2023-04-24,april,23,2024,spring,fyke,
pumpkinseed,,1,,,22,upstream,,,2023-04-24,april,23,2024,spring,fyke,
pumpkinseed,,1,,101,16.1,upstream,,,2023-04-24,april,23,2024,spring,fyke,
pumpkinseed,,1,60,63,2.2,upstream,,,2023-04-24,april,23,2024,spring,fyke,
pumpkinseed,,1,84,87,8.7,upstream,,,2023-04-24,april,23,2024,spring,fyke,
pumpkinseed,,1,60,63,3.6,upstream,,,2023-04-24,april,23,2024,spring,fyke,
pumpkinseed,,1,60,64,3.8,upstream,,,2023-04-24,april,23,2024,spring,fyke,
pearl dace,,bulk,,,146.4,upstream,,,2023-04-24,april,23,2024,spring,fyke,
pearl dace,,,135,142,26.8,upstream,1,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
pearl dace,,bulk,,,30,upstream,,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
pearl dace,,,95,102,7.7,upstream,,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
pearl dace,,,80,83,6,upstream,1,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
pearl dace,,,78,84,5.3,upstream,,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
pearl dace,,,94,98,5.3,upstream,,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
white sucker,,,212,224,87.8,upstream,,,2023-04-24,april,23,2024,spring,fyke,
common shiner,,,135,148,28.8,upstream,,,2023-04-24,april,23,2024,spring,fyke,
white sucker,,,154,163,35.9,upstream,,,2023-04-24,april,23,2024,spring,fyke,
creek chub,,,137,145,30,upstream,,,2023-04-24,april,23,2024,spring,fyke,
common shiner,,,130,142,23.2,upstream,,,2023-04-24,april,23,2024,spring,fyke,
bluntnose minnow,,,59,63,2.5,upstream,,,2023-04-24,april,23,2024,spring,fyke,
pearl dace,,,89,95,5.7,upstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,bulk,,,167.8,upstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,3,,,78.9,upstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,1,140,153,39.1,upstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,1,138,151,21.8,upstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,1,130,145,24.4,upstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,1,125,138,22.8,upstream,,,2023-04-24,april,23,2024,spring,fyke,
pearl dace,,1,84,89,5.3,downstream,,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
pearl dace,,1,88,95,8.4,downstream,,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
pearl dace,,1,83,89,4.5,downstream,,,2023-04-24,april,23,2024,spring,fyke,Spawning colours
brown bullhead,,2,,,,downstream,,,2023-04-24,april,23,2024,spring,fyke,
common shiner,,1,105,115,13.7,downstream,,,2023-04-24,april,23,2024,spring,fyke,
common shiner,,1,116,129,16.7,downstream,,1,2023-04-24,april,23,2024,spring,fyke,
common shiner,,1,85,94,5.4,downstream,,,2023-04-24,april,23,2024,spring,fyke,
common shiner,,1,81,92,6.3,downstream,,,2023-04-24,april,23,2024,spring,fyke,
bluntnose minnow,,1,66,73,2.9,downstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,1,97,107,9.1,downstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,1,105,127,16.4,downstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,1,105,117,12.3,downstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,1,100,110,12.2,downstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,1,105,115,12.1,downstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,1,93,102,10.7,downstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,1,96,106,5.6,downstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,bulk,,,107.3,downstream,,,2023-04-24,april,23,2024,spring,fyke,
golden shiner,,bulk,,,29.7,downstream,,,2023-04-24,april,23,2024,spring,fyke,
pumpkinseed,,1,38,40,0.9,downstream,,,2023-04-24,april,23,2024,spring,fyke,
brook trout,,1,,,79,upstream,,,2024-04-24,april,24,2024,spring,fyke,"Fyke DS was empty, front of net collapsed"
golden shiner,,bulk,,,420,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,245.3,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,354.8,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,345.9,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,172.6,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,199.9,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,224.6,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,85.9,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,28.4,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,208.7,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,487.5,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,330,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,135.2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,57.2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,165.6,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,211.3,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,56.7,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,FN-M24-GS-1,1,110,122,17.9,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,FN-M24-GS-2,1,105,118,13.9,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,FN-M24-GS-3,1,120,135,20.9,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,FN-M24-GS-4,1,98,110,10,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,FN-M24-GS-5,1,105,117,13,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,1,107,117,12.8,upstream,1,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,1,105,115,11.9,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,1,109,120,12.8,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,1,85,94,5.2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,1,100,109,14.2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
golden shiner,,bulk,,,52.5,upstream,,,2024-04-24,april,24,2024,spring,fyke,
common shiner,,1,85,95,6.8,upstream,,,2024-04-24,april,24,2024,spring,fyke,
common shiner,,1,115,130,21.8,upstream,,,2024-04-24,april,24,2024,spring,fyke,
common shiner,,1,135,147,32,upstream,1,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
common shiner,,1,135,147,29.6,upstream,,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
common shiner,,1,147,156,40.8,upstream,,,2024-04-24,april,24,2024,spring,fyke,Spawning colours
common shiner,,bulk,,,138.4,upstream,,,2024-04-24,april,24,2024,spring,fyke,
common shiner,FN-M24-CS-1,1,115,124,16.1,upstream,,,2024-04-24,april,24,2024,spring,fyke,
common shiner,FN-M24-CS-2,1,133,144,28.2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
common shiner,FN-M24-CS-3,1,105,114,11,upstream,,,2024-04-24,april,24,2024,spring,fyke,
common shiner,FN-M24-CS-4,1,123,135,21.4,upstream,,,2024-04-24,april,24,2024,spring,fyke,
common shiner,FN-M24-CS-5,1,110,117,14,upstream,,1,2024-04-24,april,24,2024,spring,fyke,
Brassy minnow,,1,73,77,4.9,upstream,,,2024-04-24,april,24,2024,spring,fyke,
common shiner,,1,85,95,6.2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
common shiner,,1,130,142,30,upstream,,,2024-04-24,april,24,2024,spring,fyke,
common shiner,,bulk,,,63.7,upstream,,,2024-04-24,april,24,2024,spring,fyke,
yellow perch,FN-M24-YP-1,1,95,102,9.8,upstream,,,2024-04-24,april,24,2024,spring,fyke,
yellow perch,FN-M24-YP-2,1,87,93,5.4,upstream,,,2024-04-24,april,24,2024,spring,fyke,
yellow perch,FN-M24-YP-3,1,95,102,9.1,upstream,,,2024-04-24,april,24,2024,spring,fyke,
yellow perch,FN-M24-YP-4,1,94,99,8.4,upstream,,,2024-04-24,april,24,2024,spring,fyke,
yellow perch,FN-M24-YP-5,1,85,90,5.5,upstream,,,2024-04-24,april,24,2024,spring,fyke,
yellow perch,,1,63,67,1.5,upstream,,,2024-04-24,april,24,2024,spring,fyke,
yellow perch,,1,65,68,2.2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
yellow perch,,bulk,,,36.2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
yellow perch,,bulk,,,41.8,upstream,,,2024-04-24,april,24,2024,spring,fyke,
pumpkinseed,,1,114,120,28.5,upstream,,,2024-04-24,april,24,2024,spring,fyke,
pumpkinseed,,1,95,99,15.2,upstream,,,2024-04-24,april,24,2024,spring,fyke,
pumpkinseed,,bulk,,,42.8,upstream,,,2024-04-24,april,24,2024,spring,fyke,
