Site,Species,ID,Number,FL,TL,Wt,Month,Location,Notes
CR10,Brassy Minnow,,1,60,67,1.7,August,Creek,
CR7,Brook Trout,,1,148,157,31.5,August,Creek,
CR1,Brown Bullhead,,1,,85,78.7,August,Creek,
CR1,Brown Bullhead,,1,,180,77.7,August,Creek,
CR1,Brown Bullhead,,1,,190,103.7,August,Creek,
CR1,Brown Bullhead,,1,,195,98.6,August,Creek,
CR1,Brown Bullhead,,1,,160,50.7,August,Creek,
CR1,Brown Bullhead,,1,,188,186.8,August,Creek,
CR1,Brown Bullhead,,1,,190,91.6,August,Creek,
CR1,Brown Bullhead,,1,,164,55.2,August,Creek,
CR1,Brown Bullhead,,1,,171,58.4,August,Creek,
CR2,Brown Bullhead,,31,,,,August,Creek,
CR3,Brown Bullhead,,38,,,,August,Creek,
CR4,Brown Bullhead,,1,,186,94.2,August,Creek,
CR4,Brown Bullhead,,1,,168,60.6,August,Creek,
CR4,Brown Bullhead,,1,,155,51.2,August,Creek,
CR4,Brown Bullhead,,1,,145,28.7,August,Creek,
CR4,Brown Bullhead,,1,,135,35.3,August,Creek,
CR4,Brown Bullhead,,1,,155,47.9,August,Creek,
CR4,Brown Bullhead,,1,,,45.8,August,Creek,
CR4,Brown Bullhead,,1,,168,60,August,Creek,
CR4,Brown Bullhead,,1,,170,53,August,Creek,
CR4,Brown Bullhead,,3,,185,180.6,August,Creek,
CR4,Brown Bullhead,,3,,115,42.3,August,Creek,
CR4,Brown Bullhead,,1,,150,40.8,August,Creek,
CR6,Brown Bullhead,,1,,185,75.3,August,Creek,
CR6,Brown Bullhead,,1,,159,49.3,August,Creek,
CR6,Brown Bullhead,,1,,185,65.6,August,Creek,
CR6,Brown Bullhead,,1,,172,67.2,August,Creek,
CR6,Brown Bullhead,,1,,171,53.9,August,Creek,
LK1,Brown Bullhead,,3,,,,August,Lake,
LK10,Brown Bullhead,,1,,189,84.2,August,Lake,
LK10,Brown Bullhead,,1,,200,86.2,August,Lake,
LK10,Brown Bullhead,,,,162,50,August,Lake,
LK10,Brown Bullhead,,,,188,85.7,August,Lake,
LK10,Brown Bullhead,,,,173,60,August,Lake,
LK10,Brown Bullhead,,,,201,93.3,August,Lake,
LK10,Brown Bullhead,,,,180,61,August,Lake,
LK10,Brown Bullhead,,,,195,88.4,August,Lake,
LK2,Brown Bullhead,,8,,,,August,Lake,
LK3,Brown Bullhead,,24,,,,August,Lake,
LK4,Brown Bullhead,,18,,,,August,Lake,
LK5,Brown Bullhead,,14,,,,August,Lake,
LK6,Brown Bullhead,,1,,192,83,August,Lake,
LK6,Brown Bullhead,,1,,175,72.8,August,Lake,
LK6,Brown Bullhead,,1,,172,71.3,August,Lake,
LK6,Brown Bullhead,,1,,190,75.8,August,Lake,
LK6,Brown Bullhead,,1,,168,43.1,August,Lake,
LK6,Brown Bullhead,,1,,184,62.1,August,Lake,
LK6,Brown Bullhead,,1,,170,67.3,August,Lake,
LK6,Brown Bullhead,,1,,163,52.2,August,Lake,
LK6,Brown Bullhead,,1,,169,73.1,August,Lake,
LK6,Brown Bullhead,,1,,192,75.6,August,Lake,
LK6,Brown Bullhead,,1,,166,67.9,August,Lake,
LK6,Brown Bullhead,,1,,182,81.4,August,Lake,
CR10,Common Shiner,,1,117,130,21.8,August,Creek,DS clip
CR10,Common Shiner,,1,115,125,22.4,August,Creek,
CR10,Common Shiner,,1,97,105,11.9,August,Creek,
CR10,Common Shiner,,1,115,123,16.5,August,Creek,
CR10,Common Shiner,,1,100,110,12.7,August,Creek,
CR10,Common Shiner,,1,80,88,5.5,August,Creek,
CR10,Common Shiner,,1,75,88,3.3,August,Creek,
CR10,Common Shiner,,1,71,78,4.8,August,Creek,
CR10,Common Shiner,,1,83,92,6.7,August,Creek,
CR10,Common Shiner,,1,75,83,4.7,August,Creek,
CR10,Common Shiner,,1,63,70,3.5,August,Creek,
CR10,Common Shiner,,1,71,78,3.6,August,Creek,
CR1,Creek Chub,,1,126,135,21.3,August,Creek,
CR10,Creek Chub,,1,94,100,8.6,August,Creek,
CR10,Creek Chub,,1,90,100,9,August,Creek,
CR10,Creek Chub,,1,83,87,7.7,August,Creek,
CR10,Creek Chub,,1,73,78,4.3,August,Creek,
CR10,Creek Chub,,1,81,87,6,August,Creek,
CR10,Creek Chub,,1,92,98,8,August,Creek,
CR10,Creek Chub,,1,69,73,3.8,August,Creek,
CR10,Creek Chub,,1,85,91,7.2,August,Creek,
CR10,Creek Chub,,1,80,86,6.2,August,Creek,
CR10,Creek Chub,,1,80,86,6.8,August,Creek,
CR10,Creek Chub,,1,111,118,16.3,August,Creek,
CR10,Creek Chub,,1,90,96,7.5,August,Creek,
CR10,Creek Chub,,1,70,82,5.7,August,Creek,
CR10,Creek Chub,,1,82,87,6.6,August,Creek,DS clip
CR10,Creek Chub,,1,100,106,12.2,August,Creek,
CR10,Creek Chub,,1,85,91,6.6,August,Creek,
CR10,Creek Chub,,1,72,81,4.6,August,Creek,
CR10,Creek Chub,,1,79,86,5.6,August,Creek,
CR10,Creek Chub,,1,87,93,7.3,August,Creek,
CR10,Creek Chub,,1,98,109,12.8,August,Creek,
CR10,Creek Chub,,1,88,91,7.3,August,Creek,
CR10,Creek Chub,,1,110,117,16.1,August,Creek,
CR10,Creek Chub,,1,96,102,10.6,August,Creek,
CR10,Creek Chub,,1,73,77,4,August,Creek,
CR10,Creek Chub,,1,78,83,5.3,August,Creek,
CR10,Creek Chub,,1,89,95,8.4,August,Creek,
CR10,Creek Chub,,1,92,98,8.4,August,Creek,
CR10,Creek Chub,,1,69,74,3.4,August,Creek,
CR10,Creek Chub,,1,74,78,4.2,August,Creek,
CR10,Creek Chub,,13,68,73,70,August,Creek,
CR10,Creek Chub,,8,78,84,48,August,Creek,
CR3,Creek Chub,,1,159,168,46.3,August,Creek,
CR3,Creek Chub,,1,132,140,30.6,August,Creek,
CR4,Creek Chub,,1,108,116,13.4,August,Creek,
CR4,Creek Chub,,1,113,121,13.9,August,Creek,
CR4,Creek Chub,,1,126,135,21.8,August,Creek,
CR4,Creek Chub,,1,110,117,17,August,Creek,DS clip
CR4,Creek Chub,,1,127,134,21.1,August,Creek,US clip
CR4,Creek Chub,,1,108,115,14.2,August,Creek,
CR5,Creek Chub,,1,145,156,38.1,August,Creek,
CR5,Creek Chub,,1,156,166,45.1,August,Creek,
CR5,Creek Chub,,1,115,123,15.5,August,Creek,
CR5,Creek Chub,,1,165,175,50.3,August,Creek,
CR5,Creek Chub,,1,165,175,50.3,August,Creek,
CR5,Creek Chub,,1,126,137,26.7,August,Creek,
CR5,Creek Chub,,1,146,154,47.6,August,Creek,
CR5,Creek Chub,,1,104,113,9.4,August,Creek,
CR5,Creek Chub,,1,180,190,64.9,August,Creek,
CR5,Creek Chub,,1,177,185,63.1,August,Creek,
CR5,Creek Chub,,1,134,143,29.1,August,Creek,
CR5,Creek Chub,,1,175,185,53.2,August,Creek,
CR5,Creek Chub,,1,192,202,76.8,August,Creek,
CR5,Creek Chub,,1,153,163,37.2,August,Creek,
CR5,Creek Chub,,1,184,193,70,August,Creek,
CR5,Creek Chub,,1,150,159,36.5,August,Creek,
CR5,Creek Chub,,1,118,126,18.5,August,Creek,
CR6,Creek Chub,,1,115,124,14.8,August,Creek,
CR6,Creek Chub,,1,112,120,14.7,August,Creek,
CR6,Creek Chub,,1,184,193,69.5,August,Creek,
CR6,Creek Chub,,1,127,136,22,August,Creek,
CR6,Creek Chub,,1,133,142,20,August,Creek,
CR6,Creek Chub,,1,112,119,11.9,August,Creek,
CR6,Creek Chub,,1,103,110,10.4,August,Creek,
CR6,Creek Chub,,1,107,113,12.7,August,Creek,
CR6,Creek Chub,,1,100,107,9.8,August,Creek,
CR7,Creek Chub,,1,168,176,49.7,August,Creek,
CR7,Creek Chub,,1,115,122,16.1,August,Creek,
CR7,Creek Chub,,1,137,145,26.6,August,Creek,
CR7,Creek Chub,,1,125,133,19.2,August,Creek,
CR7,Creek Chub,,6,45,102,47.5,August,Creek,
CR7,Creek Chub,,1,116,122,18.4,August,Creek,
CR8,Creek Chub,,1,136,145,23.1,August,Creek,
CR8,Creek Chub,,1,160,170,44.3,August,Creek,
CR8,Creek Chub,,1,150,160,38.8,August,Creek,
CR8,Creek Chub,,1,127,136,22.8,August,Creek,
CR8,Creek Chub,,1,94,98,19.3,August,Creek,
CR8,Creek Chub,,1,153,163,40.7,August,Creek,
CR8,Creek Chub,,1,165,175,54.5,August,Creek,
CR8,Creek Chub,,1,108,115,13.7,August,Creek,
CR8,Creek Chub,,1,137,146,24.3,August,Creek,
CR8,Creek Chub,,1,128,137,24,August,Creek,
CR8,Creek Chub,,1,136,145,30.4,August,Creek,
CR8,Creek Chub,,1,126,135,23.5,August,Creek,DS clip
CR8,Creek Chub,,1,117,125,19.9,August,Creek,
CR8,Creek Chub,,1,102,108,12.4,August,Creek,
CR8,Creek Chub,,1,145,155,33,August,Creek,
CR8,Creek Chub,,1,125,134,21.3,August,Creek,
CR8,Creek Chub,,5,94,100,60.9,August,Creek,1 with US clip
CR8,Creek Chub,,2,116,124,26.7,August,Creek,
CR8,Creek Chub,,1,62,67,2.6,August,Creek,
CR9,Creek Chub,,1,123,132,20,August,Creek,
CR9,Creek Chub,,1,80,87,5.7,August,Creek,
CR9,Creek Chub,,1,72,76,4.2,August,Creek,
CR9,Creek Chub,,1,69,74,4.1,August,Creek,
CR9,Creek Chub,,1,70,75,4,August,Creek,
CR9,Creek Chub,,1,103,111,10.6,August,Creek,
CR9,Creek Chub,,1,85,90,6.8,August,Creek,
CR9,Creek Chub,,1,67,72,3.8,August,Creek,
CR9,Creek Chub,,7,70,75,29.3,August,Creek,
CR9,Creek Chub,,1,110,118,14.6,August,Creek,
CR9,Creek Chub,,1,112,120,13.8,August,Creek,
CR9,Creek Chub,,1,125,132,21.1,August,Creek,
CR1,Golden Shiner,,1,95,106,10.4,August,Creek,
CR3,Golden Shiner,FN-A23-GS-7,1,100,112,11.1,August,Creek,US clip
CR3,Golden Shiner,FN-A23-GS-8,1,100,113,13.3,August,Creek,US clip
CR3,Golden Shiner,,1,101,111,13,August,Creek,US clip
CR3,Golden Shiner,,1,101,111,11.5,August,Creek,
CR3,Golden Shiner,,1,105,115,14.2,August,Creek,
