rec_ID,deploy_lat,deploy_long,receiver_sn,location,number,deploy_date_time,recover_date_time
R001,45.62628499,-78.34740303,VR2W-121276,creek,25,,
R002,45.624115,-78.34679802,VR2W-113298,creek,26,,
R003,45.61469902,-78.34313496,VR2W-136225,creek,30,,
R004,45.61671697,-78.34429996,VR2W-128510,creek,29,,
R005,45.61712198,-78.34406502,VR2W-130757,creek,28,,
R006,45.621138,-78.34407197,VR2W-130756,creek,27,,
R007,45.62797604,-78.35000502,VR2W-113300,creek,24,,
R008,45.62941303,-78.35067901,VR2W-128511,creek,23,,
R009,45.62981403,-78.35018196,VR2W-136220,creek,22,,
R010,45.63029498,-78.351081,VR2W-124349,creek,21,,
R011,45.63049396,-78.35205699,VR2W-136218,creek,20,,
R012,45.63108103,-78.35220703,VR2W-136216,transition,19,,
R013,45.63141899,-78.35318796,VR2W-126541,transition,18,,
R014,45.63199198,-78.35420997,VR2W-126540,transition,17,,
R015,45.632499,-78.354977,VR2W-130754,transition,16,,
R016,45.63319897,-78.35485999,VR2W-130753,transition,15,,
R017,45.633877,-78.355392,VR2W-130752,transition,14,,
R018,45.63439398,-78.35620302,VR2W-130755,transition,13,,
R019,45.63614203,-78.36297501,VR2W-136222,lake,9,,
R020,45.63651402,-78.36148999,VR2W-136228,lake,7,,
R021,45.63807196,-78.36005903,VR2W-124094,lake,8,,
R022,45.63513301,-78.35833303,VR2W-136221,lake,12,,
R023,45.63628502,-78.35877802,VR2W-136214,lake,11,,
R024,45.63817598,-78.36060503,VR2W-136227,lake,6,,
R025,45.63683898,-78.35811401,VR2W-113296,lake,10,,
R026,45.638726,-78.36184203,VR2W-107150,lake,5,,
R027,45.63529797,-78.36467,VR2W-100356,lake,4,,
R028,45.63921601,-78.36416398,VR2W-107151,lake,2,,
R029,45.63353903,-78.36485297,VR2W-120459,lake,3,,
R030,45.64192504,-78.36975899,VR2W-105239,lake,1,,
